date,programmer,project,time
2020-01-01,Hella,XTOR,1.0
2020-01-01,Hella,BIRDY,1.5
2020-01-01,Fatima,NSTAT,0.25
2020-01-01,Mariola,NSTAT,0.5
2020-01-01,Mariola,BIRDY,1.75
2020-01-01,Mariola,XTOR,3.5
2020-01-01,Mariola,NSTAT,0.75
2020-01-02,Mariola,NSTAT,1.25
2020-01-02,Hella,BIRDY,0.25
2020-01-02,Hella,BIRDY,1.5
2020-01-02,Mariola,NSTAT,0.5
2020-01-02,Mariola,BIRDY,2.0
2020-01-02,Antonie,NSTAT,0.5
2020-01-03,Antonie,NSTAT,0.25
2020-01-03,Fatima,BIRDY,1.0
2020-01-03,Hella,XTOR,0.5
2020-01-03,Mariola,XTOR,0.75
2020-01-06,Hella,BIRDY,0.5
2020-01-06,Hella,XTOR,0.75
2020-01-06,Hella,BIRDY,0.5
2020-01-06,Mariola,NSTAT,0.75
2020-01-06,Mariola,BIRDY,0.25
2020-01-06,Hella,BIRDY,1.5
2020-01-06,Mariola,XTOR,1.0
2020-01-06,Hella,XTOR,0.5
2020-01-07,Hella,BIRDY,0.75
2020-01-07,Hella,BIRDY,0.5
2020-01-07,Hella,BIRDY,1.25
2020-01-07,Mariola,NSTAT,1.0
2020-01-07,Hella,NSTAT,3.5
2020-01-07,Mariola,BIRDY,0.5
2020-01-07,Hella,NSTAT,2.75
2020-01-07,Hella,NSTAT,0.5
2020-01-07,Mariola,BIRDY,2.25
2020-01-07,Hella,NSTAT,2.0
2020-01-08,Hella,NSTAT,2.0
2020-01-08,Mariola,BIRDY,1.25
2020-01-08,Hella,XTOR,1.25
2020-01-08,Mariola,XTOR,3.5
2020-01-08,Mariola,XTOR,3.25
2020-01-08,Hella,BIRDY,0.75
2020-01-08,Mariola,BIRDY,1.25
2020-01-09,Hella,XTOR,0.25
2020-01-09,Fatima,BIRDY,1.0
2020-01-09,Hella,NSTAT,2.5
2020-01-09,Fatima,XTOR,0.25
2020-01-09,Mariola,NSTAT,1.25
2020-01-09,Antonie,XTOR,0.25
2020-01-09,Hella,BIRDY,1.5
2020-01-09,Mariola,BIRDY,1.25
2020-01-09,Mariola,XTOR,2.0
2020-01-10,Hella,BIRDY,0.25
2020-01-10,Fatima,NSTAT,0.25
2020-01-10,Hella,XTOR,1.25
2020-01-10,Hella,XTOR,0.75
2020-01-10,Hella,BIRDY,1.25
2020-01-10,Mariola,NSTAT,1.0
2020-01-10,Mariola,BIRDY,2.75
2020-01-10,Hella,NSTAT,4.25
2020-01-10,Hella,NSTAT,3.5
2020-01-10,Mariola,BIRDY,0.75
2020-01-10,Hella,XTOR,1.0
2020-01-13,Antonie,NSTAT,0.5
2020-01-13,Hella,BIRDY,1.25
2020-01-13,Mariola,BIRDY,0.25
2020-01-13,Antonie,NSTAT,1.0
2020-01-13,Hella,BIRDY,1.75
2020-01-14,Mariola,BIRDY,2.75
2020-01-14,Hella,BIRDY,1.5
2020-01-14,Hella,NSTAT,1.5
2020-01-14,Mariola,BIRDY,2.75
2020-01-14,Mariola,XTOR,1.5
2020-01-15,Hella,NSTAT,3.0
2020-01-15,Mariola,BIRDY,1.5
2020-01-15,Mariola,NSTAT,0.5
2020-01-15,Hella,BIRDY,0.5
2020-01-16,Mariola,NSTAT,1.25
2020-01-16,Hella,NSTAT,1.0
2020-01-16,Antonie,NSTAT,1.0
2020-01-16,Hella,NSTAT,1.0
2020-01-16,Hella,NSTAT,3.25
2020-01-16,Hella,XTOR,1.25
2020-01-16,Hella,BIRDY,1.0
2020-01-16,Hella,XTOR,0.5
2020-01-16,Mariola,NSTAT,0.75
2020-01-17,Antonie,BIRDY,1.0
2020-01-17,Hella,XTOR,0.75
2020-01-17,Fatima,BIRDY,1.25
2020-01-17,Mariola,XTOR,3.5
2020-01-17,Hella,NSTAT,3.25
2020-01-20,Hella,XTOR,0.25
2020-01-20,Hella,BIRDY,1.5
2020-01-20,Mariola,BIRDY,3.25
2020-01-20,Mariola,NSTAT,0.75
2020-01-20,Hella,BIRDY,1.75
2020-01-20,Antonie,NSTAT,0.75
2020-01-20,Hella,NSTAT,4.25
2020-01-21,Antonie,BIRDY,1.25
2020-01-21,Mariola,BIRDY,1.25
2020-01-21,Mariola,BIRDY,3.25
2020-01-22,Hella,BIRDY,1.5
2020-01-22,Mariola,XTOR,3.5
2020-01-22,Mariola,NSTAT,0.5
2020-01-22,Mariola,BIRDY,3.0
2020-01-22,Hella,XTOR,0.75
2020-01-22,Hella,NSTAT,2.5
2020-01-23,Mariola,NSTAT,0.5
2020-01-23,Mariola,NSTAT,0.5
2020-01-23,Hella,NSTAT,3.5
2020-01-23,Mariola,NSTAT,1.25
2020-01-23,Fatima,BIRDY,0.5
2020-01-23,Hella,NSTAT,3.0
2020-01-23,Hella,XTOR,1.0
2020-01-23,Mariola,NSTAT,0.75
2020-01-24,Hella,XTOR,1.0
2020-01-24,Hella,BIRDY,0.25
2020-01-24,Mariola,NSTAT,0.25
2020-01-24,Hella,BIRDY,0.5
2020-01-27,Hella,BIRDY,1.75
2020-01-27,Mariola,XTOR,3.75
2020-01-27,Hella,XTOR,0.25
2020-01-27,Mariola,BIRDY,2.25
2020-01-27,Antonie,BIRDY,2.0
2020-01-27,Mariola,BIRDY,1.75
2020-01-27,Hella,BIRDY,1.0
2020-01-28,Hella,BIRDY,1.0
2020-01-28,Hella,BIRDY,1.75
2020-01-28,Mariola,NSTAT,1.25
2020-01-28,Hella,BIRDY,1.75
2020-01-28,Mariola,XTOR,2.0
2020-01-28,Mariola,XTOR,4.25
2020-01-28,Antonie,NSTAT,0.5
2020-01-29,Mariola,NSTAT,1.25
2020-01-29,Antonie,BIRDY,2.5
2020-01-29,Mariola,BIRDY,2.75
2020-01-30,Mariola,BIRDY,1.25
2020-01-30,Mariola,NSTAT,1.0
2020-01-30,Mariola,BIRDY,0.75
2020-01-30,Mariola,NSTAT,1.0
2020-01-30,Fatima,NSTAT,1.0
2020-01-30,Mariola,NSTAT,0.75
2020-01-30,Mariola,NSTAT,1.0
2020-01-31,Hella,XTOR,0.5
2020-01-31,Antonie,NSTAT,0.25
2020-01-31,Mariola,BIRDY,0.75
2020-01-31,Mariola,XTOR,1.0
2020-01-31,Mariola,BIRDY,0.5
2020-01-31,Hella,NSTAT,2.25
2020-01-31,Hella,NSTAT,0.5
2020-01-31,Mariola,NSTAT,1.25
2020-01-31,Mariola,BIRDY,1.5
2020-01-31,Hella,NSTAT,4.25
2020-01-31,Fatima,BIRDY,0.5
2020-02-03,Hella,BIRDY,0.75
2020-02-03,Mariola,BIRDY,0.75
2020-02-03,Mariola,BIRDY,1.0
2020-02-03,Hella,BIRDY,1.5
2020-02-04,Mariola,XTOR,0.75
2020-02-04,Hella,XTOR,0.25
2020-02-04,Mariola,BIRDY,0.5
2020-02-04,Hella,BIRDY,0.25
2020-02-05,Hella,NSTAT,2.25
2020-02-05,Hella,BIRDY,1.5
2020-02-05,Mariola,NSTAT,1.25
2020-02-05,Hella,BIRDY,0.25
2020-02-06,Antonie,BIRDY,0.75
2020-02-06,Mariola,BIRDY,0.5
2020-02-06,Hella,XTOR,0.25
2020-02-06,Mariola,BIRDY,1.75
2020-02-06,Mariola,NSTAT,0.5
